Mchirp q EOS_ID alpha zeta L
0.119111632764773301E+01 0.135024438050074380E+01 0.414723427695427654E+04 -0.176130200061786768E+01 0.649228601206216227E-01 0.821694995660403826E+01
0.118545721735804710E+01 0.122092544917907353E+01 0.495646008486677601E+04 -0.182044499839161245E+01 0.240535166961030195E+00 0.823105522854697469E+01
0.119230263657194535E+01 0.155190538151730051E+01 0.355015872975480988E+04 -0.173777546682790818E+01 0.720592836558730104E-01 0.825735997993806592E+01
0.118734695156183712E+01 0.156920146942138672E+01 0.384494036436080933E+04 -0.150066351890563965E+01 0.206285417079925537E-01 0.826414346047492110E+01
0.118963516026218152E+01 0.102072513103485107E+01 0.472989737987518311E+04 -0.152174413204193115E+01 0.348423570394515991E+00 0.828486258138614495E+01
0.119077713753702663E+01 0.155819065655414213E+01 0.358350306868984990E+04 -0.173472876070806592E+01 0.187685850098966017E+00 0.830243207892424628E+01
0.119266826772476531E+01 0.115343822741549928E+01 0.321247311957319516E+04 -0.156322403321257131E+01 0.214692593014246896E+00 0.830375989617849797E+01
0.118931534983423504E+01 0.106963729858398438E+01 0.319696784019470215E+04 -0.180108034610748291E+01 0.369128316640853882E+00 0.830438952129946806E+01
0.118875742785071026E+01 0.101274389522985864E+01 0.457915764501024387E+04 -0.162453198085750872E+01 0.247892281680201082E+00 0.830467467552943361E+01
0.118443227797799944E+01 0.125511738406572482E+01 0.408798192525430204E+04 -0.156044159034923502E+01 0.757229359208716757E-01 0.831291056005845164E+01
0.118511452428986397E+01 0.109787024648116271E+01 0.389212329086491945E+04 -0.167722488254765123E+01 0.649881091271889977E-01 0.831970120401071433E+01
0.119105232272147799E+01 0.149781095981597900E+01 0.468769639730453491E+04 -0.188170564174652100E+01 0.247417598962783813E+00 0.833349387790789109E+01
0.119055337868080846E+01 0.148717225047366308E+01 0.421684336158706628E+04 -0.163770050333633366E+01 0.113338254905962360E+00 0.836635769925221950E+01
0.119048647231740046E+01 0.153342716265944157E+01 0.458052136710594186E+04 -0.181684683112075485E+01 0.246935436244757889E+00 0.837540211952821245E+01
0.119255961879603878E+01 0.107465161469584225E+01 0.272462619951435636E+04 -0.163427705214004670E+01 0.181192945094300562E+00 0.838390389914787804E+01
0.118974362177569493E+01 0.153685557842254639E+01 0.423460990190505981E+04 -0.156837034225463867E+01 0.136665284633636475E+00 0.839141211352061589E+01
0.119328417188915981E+01 0.113757362844509124E+01 0.392167498209153973E+04 -0.156257944410952865E+01 0.177616655221824710E+00 0.839644939752083808E+01
0.118720505235381912E+01 0.151317284378521588E+01 0.234631768366920642E+04 -0.157829584662672806E+01 0.847054884614110576E-01 0.840050362947437002E+01
0.118553904572202384E+01 0.125215267354635662E+01 0.410005839523589839E+04 -0.125316561528250148E+01 0.238863241188129405E+00 0.840197677418228039E+01
0.118511174226290539E+01 0.119107808062226628E+01 0.416875616617581454E+04 -0.126315981373326602E+01 0.177671628663654768E+00 0.840433976762333401E+01
0.118789428363110017E+01 0.114496455694118038E+01 0.405513168076181864E+04 -0.154143440786322894E+01 0.224054807469739825E+00 0.840527944750433065E+01
0.118979211631586601E+01 0.154875992837749554E+01 0.402878103225960422E+04 -0.151661763264554361E+01 0.108415206773833039E+00 0.841729637837940814E+01
0.118603304844984003E+01 0.102006599514181384E+01 0.321531372606677087E+04 -0.130248535003633092E+01 0.288266522816969961E+00 0.843982964622891707E+01
0.118566868840509754E+01 0.108649884753847559E+01 0.460032899979450212E+04 -0.172692848959216771E+01 0.355804132465823986E+00 0.844375081029395602E+01
0.118711760056384241E+01 0.141553258895874023E+01 0.279127955436706543E+04 -0.167627918720245361E+01 0.271317958831787109E-01 0.846021646905838409E+01
0.119166272500068837E+01 0.125707114352490512E+01 0.364258183430675626E+04 -0.168954472178375226E+01 0.429740227197143831E+00 0.846195373805581141E+01
0.119066552200643194E+01 0.160073983669281006E+01 0.205476820468902588E+04 -0.162396240234375000E+01 0.444340705871582031E+00 0.847348451831742366E+01
0.118727865155102319E+01 0.151523701743805517E+01 0.412380322946451179E+04 -0.160650755413335422E+01 0.872920917072873837E-01 0.847887478406837936E+01
0.118985380385980410E+01 0.150615117988761438E+01 0.392212806305207232E+04 -0.192762420510162080E+01 0.147545851575490300E+00 0.847907351411843280E+01
