Mchirp q alpha zeta EOS mass_1_source mass_2_source lambda_1 lambda_2 radius_1 radius_2
1.4139137081793811 1.0683135986328125 -1.9765857458114624 0.13039985299110413 3457 1.678903309398258 1.57154538849534 37.610187067438815 60.42283813579122 10.314331461600522 10.343130570709626
1.4713178389124413 1.1099505424499512 -1.9565314054489131 0.19357481598854065 4393 1.7810758163761062 1.604644304641544 151.0804695751752 267.25528529887623 12.797678330376687 12.627316094025636
1.4400945685780515 1.057783544063568 -1.9329408407211304 0.31955310702323914 3424 1.7014910654796607 1.6085437091819694 124.75856605700457 174.74546463152413 12.065022350612644 12.018408552513467
1.4067156599402466 1.1393433213233948 -1.910371780395508 0.06887435913085938 4435 1.7255369504453903 1.5145013080351473 157.6920483601257 328.7681363908827 12.663466785733329 12.522620441256924
1.4557439809704196 1.1872546076774595 -1.9759736061096191 0.08508259057998657 3656 1.8234019572083395 1.5358137550422557 136.42918497922886 360.23575306543694 13.084115045775262 12.89230205964759
1.4688485698582352 1.0935670137405396 -1.989169359207153 0.056348979473114014 3409 1.7647880682137884 1.6137905094424356 36.90393280392118 78.17619324530176 10.790393993805917 10.939388825234218
1.4693681103171643 1.01972496509552 -1.9102158546447756 0.20744389295578 4704 1.704442197382788 1.6714724614230947 107.42053225037596 123.17537318379392 12.068911057608073 12.080663813424602
1.41761275232059 1.3264080882072449 -1.9632705450057983 0.0935843586921692 3510 1.8791682051187353 1.4167345795203896 163.68221747515932 697.3777021570083 13.666433914265733 13.15097547193107
1.4066815868725056 1.0447359085083008 -1.9402085542678835 0.14786815643310547 4279 1.6516797957218878 1.5809543658551912 78.84379187588878 112.72062042713239 11.372264912706903 11.466632042681011
1.4090205110302003 1.0035926699638367 -1.8779906034469604 0.13019680976867679 4871 1.6214448970285749 1.6156404341683779 147.17441319565913 150.90563152102362 12.017241713557606 12.018155037141232
1.4670113129522768 1.0496434569358823 -1.8922996520996092 0.10155075788497923 3516 1.726576590093762 1.644917213254472 86.54759314324235 119.12454030431977 11.66844396576833 11.657937980208432
1.4693379693550055 1.1424590349197388 -1.9772521257400513 0.23389869928359985 3406 1.8048472886480795 1.5797916892266302 86.34545930566979 200.60245382176527 12.11154283305352 12.040121620672378
1.4512304573677663 1.2097947001457214 -1.9527425765991209 0.2199692130088806 3659 1.8352339770477288 1.5169796799627848 61.43292405987904 208.63385139126345 11.780002114913634 11.705401873410633
1.4097248086451026 1.0636053681373596 -1.936052680015564 0.1889048218727112 3578 1.6702130806943773 1.5703315635002302 45.4584823565506 73.05805334572099 10.495005304457662 10.554329544909766
1.4319135820142028 1.3031187653541565 -1.932350516319275 0.4940837621688842 3470 1.8809345106625648 1.4434098876255321 164.13880451694752 644.2992431793122 13.70492632634732 13.229867213702196
1.407298207340009 1.0762465596199036 -1.9020326137542725 0.09653395414352417 4071 1.6772841001175294 1.5584571073657072 102.7701046748112 163.83360458904897 11.604136533752285 11.572135090006729
1.4644471553001175 1.1654754877090454 -1.979926824569702 0.2058479785919189 4407 1.8171284027505232 1.5591305196151488 55.48747489160194 154.95862759056962 11.519340912154634 11.495635003569744
1.4069750804765266 1.0446202158927915 -1.9779415130615237 0.39455375075340277 4428 1.6519325326389904 1.5813713993914578 162.02579456334948 210.87158034071302 12.274016991455603 12.249292026038178
1.4084167799944352 1.1050809621810913 -1.9853053092956543 0.2383058667182922 4379 1.7011499245442405 1.5393894047244214 147.80936334474674 271.344266166975 12.325859947336513 12.255904773901973
1.469129863055607 1.2263678312301636 -1.9652752876281736 0.19450363516807556 4635 1.870802193385516 1.5254821153527187 63.509781184017406 247.88572171960064 12.20457942795787 12.236710524236457
1.4652505326505434 1.045620024204254 -1.9262288808822632 0.30894058942794805 4026 1.7211805820699062 1.646086094592319 118.65748905463833 157.34579181436652 12.202918271452669 12.185201142894265
